"File identification","State Postal Abbreviation","Summary Level","Geographic Component","Logical Record Number","US","Census Region","Census Division","State (Census Code)","State (FIPS Code)","County of current residence","County Subdivision (FIPS)","Place (FIPS Code)","Census Tract","Block Group","Consolidated City","American Indian Area/Alaska Native Area/ Hawaiian Home Land (Census)","American Indian Area/Alaska Native Area/ Hawaiian Home Land (FIPS)","American Indian Trust Land/Hawaiian Home Land Indicator","American Indian Tribal Subdivision (Census)","American Indian Tribal Subdivision (FIPS)","Alaska Native Regional Corporation (FIPS)","Metropolitan and Micropolitan Statistical Area","Combined Statistical Area","Metropolitan Statistical Area- Metropolitan Division","Metropolitan Area Central City","Metropolitan/Micropolitan Indicator Flag","New England City and Town Area","New England City and Town Combined Statistical Area","New England City and Town Area Division","Urban Area","Current Congressional District ***","State Legislative District Upper","State Legislative District Lower","5-digit ZIP Code Tabulation Area","Subminor Civil Division (FIPS)","State-School District (Elementary)","State-School District (Secondary)","State-School District (Unified)","Urban/Rural","Principal City Indicator","Public Use Microdata Area – 5% File","Geographic Identifier","Area Name","Tribal Tract","Tribal Block Group","Qualifying Name","FIPS","Area (Land)","Area (Water)","Place (State FIPS + Place FIPS)","Urban Area Central Place","Voting District","ZIP Code Tabulation Area (3-digit)","Traffic Analysis Zone","Urban Growth Area","Public Use Microdata Area - 1% File","Median Household Income (In 2020 Inflation Adjusted Dollars):","Median Household Income (In 2020 Inflation Adjusted Dollars): White Alone Householder","Median Household Income (In 2020 Inflation Adjusted Dollars): Black or African American Alone Householder","Median Household Income (In 2020 Inflation Adjusted Dollars): American Indian and Alaska Native Alone  Householder","Median Household Income (In 2020 Inflation Adjusted Dollars): Asian Alone","Median Household Income (In 2020 Inflation Adjusted Dollars): Native Hawaiian and Other Pacific Islander Alone  Householder","Median Household Income (In 2020 Inflation Adjusted Dollars): Some Other Race Alone Householder","Median Household Income (In 2020 Inflation Adjusted Dollars): Two or More Races Householder","Median Household Income (In 2020 Inflation Adjusted Dollars): Hispanic or Latino Householder","Median Household Income (In 2020 Inflation Adjusted Dollars): White Alone Householder, Not Hispanic or Latino","Population 25 Years and Over:","Population 25 Years and Over: Less than High School","Population 25 Years and Over: High School Graduate (Includes Equivalency)","Population 25 Years and Over: Some College","Population 25 Years and Over: Bachelor's Degree","Population 25 Years and Over: Master's Degree","Population 25 Years and Over: Professional School Degree","Population 25 Years and Over: Doctorate Degree"
Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_QName,Geo_FIPS,Geo_AREALAND,Geo_AREAWATR,Geo_PLACESE,Geo_UACP,Geo_VTD,Geo_ZCTA3,Geo_TAZ,Geo_UGA,Geo_PUMA1,SE_A14007_001,SE_A14007_002,SE_A14007_003,SE_A14007_004,SE_A14007_005,SE_A14007_006,SE_A14007_007,SE_A14007_008,SE_A14007_009,SE_A14007_010,SE_A12001_001,SE_A12001_002,SE_A12001_003,SE_A12001_004,SE_A12001_005,SE_A12001_006,SE_A12001_007,SE_A12001_008
"ACSSF","al","050","00","0000013",,,,,"01","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01001","Autauga County",,,"Autauga County, Alabama","01001","1539634184","25674812",,,,,,,,57982,65364,30718,,98953,,110423,,81185,65130,37860,4273,11880,10986,6320,3399,504,498
"ACSSF","al","050","00","0000014",,,,,"01","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01003","Baldwin County",,,"Baldwin County, Alabama","01003","4117656199","1132956041",,,,,,,,61756,66418,39500,29856,49406,,48105,41118,54063,66695,155563,14823,42272,48832,31444,13331,2845,2016
"ACSSF","al","050","00","0000015",,,,,"01","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01005","Barbour County",,,"Barbour County, Alabama","01005","2292160149","50523213",,,,,,,,34990,50640,22835,,53750,,,,30350,51017,17797,4497,6361,4872,1296,540,118,113
"ACSSF","al","050","00","0000016",,,,,"01","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01007","Bibb County",,,"Bibb County, Alabama","01007","1612188717","9572303",,,,,,,,51721,54955,14591,,,,,20966,63438,54895,15987,3056,7206,3911,1183,481,109,41
"ACSSF","al","050","00","0000017",,,,,"01","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01009","Blount County",,,"Blount County, Alabama","01009","1670259090","14860281",,,,,,,,48922,49029,42656,,125272,,,46399,40783,49580,39814,6838,13975,13725,3540,1382,222,132
"ACSSF","al","050","00","0000018",,,,,"01","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01011","Bullock County",,,"Bullock County, Alabama","01011","1613083467","6030667",,,,,,,,33866,67344,26579,,,,,,,76389,6784,1700,2809,1578,413,152,104,28
"ACSSF","al","050","00","0000019",,,,,"01","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01013","Butler County",,,"Butler County, Alabama","01013","2012002546","2701199",,,,,,,,44850,55410,31250,48556,,,,,,56493,13820,1886,6425,3304,1396,651,139,19
"ACSSF","al","050","00","0000020",,,,,"01","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01015","Calhoun County",,,"Calhoun County, Alabama","01015","1569246127","16536293",,,,,,,,50128,53616,37707,54115,37933,,37632,20625,49563,53622,78967,11787,27203,25087,8296,4618,1093,883
"ACSSF","al","050","00","0000021",,,,,"01","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01017","Chambers County",,,"Chambers County, Alabama","01017","1545085601","16971700",,,,,,,,43875,49826,34995,,,,100250,41429,70159,49953,23771,4140,8829,7369,2491,740,173,29
"ACSSF","al","050","00","0000022",,,,,"01","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01019","Cherokee County",,,"Cherokee County, Alabama","01019","1433620850","120310807",,,,,,,,42509,43459,,,,,,64821,34183,43567,19143,3288,7495,5884,1202,743,399,132
"ACSSF","al","050","00","0000023",,,,,"01","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01021","Chilton County",,,"Chilton County, Alabama","01021","1794438835","20592116",,,,,,,,52141,53882,33000,78253,66912,,54485,40341,50395,54112,30153,5485,13070,7491,2471,1349,181,106
"ACSSF","al","050","00","0000024",,,,,"01","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01023","Choctaw County",,,"Choctaw County, Alabama","01023","2365900081","19114321",,,,,,,,36634,43393,29093,,,,,,,43571,9263,1603,3346,3062,761,374,44,73
